aqi,co,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
67,0.7,39,80,62,48,良,75,10,2018-02-01
62,0.6,34,61,58,44,良,114,10,2018-02-02
58,0.6,31,101,64,41,良,108,13,2018-02-03
56,0.5,26,81,61,36,良,57,10,2018-02-04
40,0.4,32,79,39,26,优,33,10,2018-02-05
63,0.6,50,91,47,33,良,137,10,2018-02-06
78,0.6,62,54,57,41,良,166,12,2018-02-07
72,0.7,57,102,59,46,良,129,12,2018-02-08
99,0.8,79,32,74,58,良,213,10,2018-02-09
103,0.8,45,59,80,77,轻度污染,265,7,2018-02-10
77,0.7,29,97,66,56,良,185,9,2018-02-11
59,0.6,31,98,67,42,良,116,8,2018-02-12
67,0.6,46,120,77,43,良,162,9,2018-02-13
67,0.7,53,114,66,39,良,147,9,2018-02-14
62,0.7,49,113,67,44,良,118,9,2018-02-15
180,1,50,114,146,136,中度污染,265,20,2018-02-16
82,0.8,32,73,66,60,良,173,8,2018-02-17
55,0.7,27,89,48,39,良,127,8,2018-02-18
58,0.7,32,109,46,41,良,195,8,2018-02-19
52,0.7,37,68,39,36,良,131,9,2018-02-20
42,0.8,26,30,32,29,优,89,7,2018-02-21
24,0.8,19,30,10,9,优,27,5,2018-02-22
35,0.8,28,37,14,13,优,53,6,2018-02-23
55,0.9,44,29,33,30,良,188,8,2018-02-24
40,0.9,32,31,24,23,优,45,6,2018-02-25
44,0.7,35,83,30,25,优,52,8,2018-02-26
60,0.7,48,97,36,26,良,150,11,2018-02-27
87,0.8,69,78,46,35,良,243,11,2018-02-28
82,0.9,65,119,66,58,良,274,14,2018-03-01
62,0.7,49,81,51,43,良,170,12,2018-03-02
53,0.6,42,35,43,30,良,116,10,2018-03-03
43,0.6,34,23,34,24,优,75,8,2018-03-04
52,0.6,41,25,37,25,良,219,10,2018-03-05
59,0.9,47,30,46,31,良,239,10,2018-03-06
54,0.7,43,90,49,29,良,206,10,2018-03-07
34,0.6,27,38,12,10,优,44,6,2018-03-08
52,0.6,36,102,38,19,良,77,8,2018-03-09
80,0.7,64,116,60,37,良,217,12,2018-03-10
111,0.8,77,172,80,53,轻度污染,289,15,2018-03-11
92,0.8,73,121,68,42,良,245,15,2018-03-12
78,0.7,62,118,63,38,良,173,16,2018-03-13
75,0.7,60,62,52,33,良,210,14,2018-03-14
93,0.9,74,48,66,48,良,306,13,2018-03-15
104,1,88,112,93,77,轻度污染,323,16,2018-03-16
63,0.7,50,78,54,40,良,241,10,2018-03-17
54,0.7,43,76,51,30,良,158,11,2018-03-18
73,0.8,58,26,48,32,良,245,10,2018-03-19
41,0.8,26,81,15,11,优,75,7,2018-03-20
50,0.7,33,100,28,17,优,129,9,2018-03-21
78,0.7,62,102,55,32,良,205,12,2018-03-22
129,0.9,88,191,111,62,轻度污染,309,18,2018-03-23
85,0.7,68,110,85,47,良,227,16,2018-03-24
84,0.8,67,74,79,43,良,212,15,2018-03-25
88,0.9,70,106,88,60,良,233,12,2018-03-26
89,0.9,59,146,54,39,良,259,9,2018-03-27
133,0.9,58,196,89,71,轻度污染,336,14,2018-03-28
102,0.8,49,162,69,51,轻度污染,313,13,2018-03-29
90,0.9,72,110,79,59,良,280,13,2018-03-30
106,0.7,59,166,64,36,轻度污染,279,13,2018-03-31
141,0.7,48,205,72,42,轻度污染,321,15,2018-04-01
119,0.8,52,180,82,51,轻度污染,312,16,2018-04-02
90,0.8,52,147,75,45,良,282,14,2018-04-03
79,0.6,43,134,58,31,良,298,12,2018-04-04
44,0.6,30,85,44,24,优,115,10,2018-04-05
45,0.6,28,70,45,20,优,80,9,2018-04-06
78,0.5,37,88,105,32,良,225,9,2018-04-07
87,0.7,69,143,96,41,良,298,12,2018-04-08
95,0.8,68,154,107,59,良,300,15,2018-04-09
73,0.7,46,127,63,35,良,203,11,2018-04-10
67,0.8,53,78,61,34,良,207,12,2018-04-11
52,0.7,41,30,41,22,良,113,10,2018-04-12
45,0.6,36,31,31,18,优,132,9,2018-04-13
47,0.6,37,25,27,19,优,154,8,2018-04-14
35,0.7,28,44,20,15,优,86,7,2018-04-15
58,0.6,38,45,66,29,良,94,7,2018-04-16
78,0.7,57,133,93,49,良,194,11,2018-04-17
120,1,75,182,102,86,轻度污染,317,15,2018-04-18
104,0.9,68,164,94,70,轻度污染,255,15,2018-04-19
83,0.7,66,77,75,47,良,222,12,2018-04-20
58,0.6,46,64,56,27,良,166,11,2018-04-21
57,0.6,45,51,54,30,良,206,12,2018-04-22
53,0.6,42,45,43,24,良,186,9,2018-04-23
50,0.8,40,33,34,23,优,144,9,2018-04-24
50,0.8,40,67,39,28,优,75,8,2018-04-25
90,1.1,72,13,70,58,良,250,9,2018-04-26
72,1.1,57,32,63,44,良,162,8,2018-04-27
85,1.2,68,36,60,42,良,180,8,2018-04-28
69,0.9,55,86,62,38,良,147,11,2018-04-29
62,0.8,49,66,54,34,良,182,10,2018-04-30
48,0.7,38,55,38,24,优,95,7,2018-05-01
67,0.6,33,120,38,25,良,222,7,2018-05-02
54,0.7,35,104,43,28,良,84,8,2018-05-03
64,0.8,51,67,46,29,良,151,9,2018-05-04
50,0.6,40,97,48,22,优,132,11,2018-05-05
39,0.6,31,74,35,18,优,75,8,2018-05-06
40,0.6,28,80,21,12,优,73,7,2018-05-07
54,0.8,43,59,32,18,良,101,7,2018-05-08
50,0.8,40,33,35,24,优,99,8,2018-05-09
58,0.7,46,84,45,24,良,111,9,2018-05-10
62,0.7,49,86,59,28,良,160,11,2018-05-11
68,0.7,54,94,57,29,良,178,11,2018-05-12
55,0.7,44,96,43,24,良,102,10,2018-05-13
67,0.7,37,120,36,21,良,150,8,2018-05-14
56,0.6,29,107,30,17,良,136,8,2018-05-15
50,0.6,29,100,30,17,优,123,9,2018-05-16
50,0.6,34,100,32,18,优,106,8,2018-05-17
81,0.6,30,137,34,20,良,275,8,2018-05-18
105,0.6,29,165,36,22,轻度污染,331,9,2018-05-19
79,0.6,27,134,31,18,良,321,9,2018-05-20
100,0.6,28,160,32,19,良,333,9,2018-05-21
114,0.6,30,175,35,21,轻度污染,338,10,2018-05-22
150,0.7,37,215,48,30,轻度污染,337,12,2018-05-23
92,0.6,30,150,39,24,良,270,10,2018-05-24
76,0.5,25,131,28,15,良,244,9,2018-05-25
67,0.6,25,120,28,16,良,265,9,2018-05-26
49,0.7,38,98,33,18,优,148,8,2018-05-27
113,0.7,43,174,39,23,轻度污染,306,10,2018-05-28
72,0.6,49,126,39,21,良,183,12,2018-05-29
80,0.6,45,136,43,24,良,232,13,2018-05-30
85,0.6,34,142,34,19,良,210,11,2018-05-31
66,0.7,49,119,42,29,良,17,10,2018-06-01
101,0.7,47,161,39,29,轻度污染,45,7,2018-06-02
94,0.7,42,152,43,27,良,42,8,2018-06-03
70,0.7,46,124,41,24,良,28,9,2018-06-04
53,0.7,42,59,26,18,良,17,7,2018-06-05
43,0.6,34,22,16,10,优,12,6,2018-06-06
39,0.6,31,22,11,7,优,10,5,2018-06-07
40,0.7,32,42,12,8,优,13,5,2018-06-08
44,0.7,35,51,19,12,优,9,7,2018-06-09
77,0.8,42,132,43,26,良,48,9,2018-06-10
137,0.8,51,200,50,31,轻度污染,61,9,2018-06-11
60,0.8,48,89,50,37,良,9,10,2018-06-12
53,0.8,42,48,24,19,良,16,6,2018-06-13
45,0.8,31,89,26,15,优,8,7,2018-06-14
42,0.7,33,74,27,16,优,4,7,2018-06-15
130,0.7,38,192,34,19,轻度污染,61,7,2018-06-16
124,0.7,40,186,58,32,轻度污染,63,9,2018-06-17
111,0.7,23,172,49,33,轻度污染,56,9,2018-06-18
45,0.6,25,90,28,15,优,30,7,2018-06-19
69,0.6,28,122,38,20,良,45,8,2018-06-20
61,0.6,32,113,39,21,良,33,8,2018-06-21
50,0.7,40,37,27,18,优,35,7,2018-06-22
57,0.6,45,43,24,14,良,27,8,2018-06-23
39,0.6,31,61,26,14,优,13,8,2018-06-24
37,0.6,29,46,18,11,优,104,7,2018-06-25
49,0.7,39,69,29,16,优,180,7,2018-06-26
82,0.6,36,138,37,20,良,298,8,2018-06-27
75,0.6,30,130,37,20,良,263,8,2018-06-28
87,0.5,26,144,36,21,良,249,7,2018-06-29
43,0.5,26,86,32,18,优,121,6,2018-06-30
56,0.5,25,107,32,18,良,198,6,2018-07-01
45,0.6,36,56,31,18,优,129,7,2018-07-02
45,0.6,36,58,37,19,优,175,7,2018-07-03
50,0.6,25,99,34,16,优,161,6,2018-07-04
38,0.6,30,75,36,16,优,97,6,2018-07-05
48,0.7,38,80,35,17,优,215,7,2018-07-06
49,0.7,39,34,27,15,优,234,6,2018-07-07
48,0.7,38,73,34,17,优,235,8,2018-07-08
37,0.6,27,74,27,13,优,161,7,2018-07-09
53,0.5,27,103,29,14,良,252,6,2018-07-10
133,0.7,35,196,57,31,轻度污染,357,10,2018-07-11
108,0.5,29,168,31,17,轻度污染,354,8,2018-07-12
38,0.6,30,50,21,13,优,95,6,2018-07-13
37,0.6,29,32,18,11,优,87,6,2018-07-14
30,0.5,24,51,21,11,优,61,6,2018-07-15
51,0.6,36,101,35,16,良,207,8,2018-07-16
65,0.7,40,117,48,28,良,245,9,2018-07-17
40,0.6,25,79,30,16,优,96,7,2018-07-18
43,0.5,28,86,29,14,优,119,8,2018-07-19
72,0.6,29,126,27,14,良,245,8,2018-07-20
122,0.6,37,184,42,25,轻度污染,345,10,2018-07-21
70,0.6,30,123,32,17,良,123,9,2018-07-22
47,0.7,37,56,29,16,优,80,9,2018-07-23
39,0.7,31,52,22,14,优,45,6,2018-07-24
55,0.8,44,58,38,20,良,85,7,2018-07-25
65,0.8,52,39,38,22,良,60,8,2018-07-26
52,0.7,34,102,32,18,良,268,8,2018-07-27
70,0.6,28,124,29,15,良,144,7,2018-07-28
54,0.7,28,104,29,16,良,56,8,2018-07-29
45,0.8,34,90,34,18,优,90,9,2018-07-30
47,0.8,34,94,34,19,优,137,8,2018-07-31
70,0.7,28,123,33,17,良,150,7,2018-08-01
52,0.7,41,90,36,22,良,187,6,2018-08-02
64,0.8,51,38,38,22,良,208,7,2018-08-03
100,0.8,52,159,55,32,良,248,9,2018-08-04
80,0.7,35,135,43,23,良,201,7,2018-08-05
75,0.7,48,130,40,24,良,155,7,2018-08-06
118,0.9,61,179,60,36,轻度污染,238,8,2018-08-07
83,0.7,42,139,40,20,良,166,7,2018-08-08
67,0.6,30,120,35,20,良,194,8,2018-08-09
35,0.6,28,64,23,15,优,91,7,2018-08-10
35,0.6,28,51,18,13,优,14,6,2018-08-11
43,0.6,34,77,28,16,优,29,6,2018-08-12
64,0.7,39,116,41,24,良,186,7,2018-08-13
39,0.6,26,77,24,14,优,187,6,2018-08-14
43,0.7,31,85,24,16,优,74,6,2018-08-15
43,0.7,34,67,28,15,优,164,7,2018-08-16
58,0.8,46,97,37,23,良,204,8,2018-08-17
70,0.8,51,124,48,30,良,234,8,2018-08-18
68,0.8,47,121,39,25,良,224,7,2018-08-19
72,1,57,122,54,36,良,232,8,2018-08-20
90,0.8,41,147,48,30,良,251,8,2018-08-21
76,0.8,48,131,35,22,良,43,7,2018-08-22
112,0.9,60,173,58,36,轻度污染,188,10,2018-08-23
96,0.8,51,155,61,37,良,292,8,2018-08-24
95,0.7,43,153,55,34,良,291,9,2018-08-25
75,0.8,26,129,40,27,良,285,7,2018-08-26
52,0.9,41,57,33,24,良,46,7,2018-08-27
53,0.8,42,63,27,22,良,150,6,2018-08-28
53,0.7,42,82,18,13,良,61,6,2018-08-29
45,0.6,36,21,17,11,优,53,6,2018-08-30
48,0.6,38,30,27,17,优,225,7,2018-08-31
47,0.6,37,25,24,16,优,211,6,2018-09-01
50,0.7,40,28,32,20,优,90,8,2018-09-02
54,0.7,38,104,34,20,良,160,8,2018-09-03
75,0.7,40,130,44,23,良,238,8,2018-09-04
87,0.7,43,144,52,32,良,239,9,2018-09-05
114,0.7,43,175,45,30,轻度污染,149,10,2018-09-06
120,0.8,46,181,43,30,轻度污染,130,7,2018-09-07
52,0.7,26,102,40,25,良,49,6,2018-09-08
67,0.7,23,120,41,29,良,169,6,2018-09-09
62,0.7,44,114,44,28,良,111,8,2018-09-10
89,0.7,46,146,56,37,良,280,9,2018-09-11
55,0.6,33,106,45,32,良,311,8,2018-09-12
47,0.6,37,78,29,22,优,126,7,2018-09-13
59,0.7,45,110,47,28,良,79,8,2018-09-14
47,0.6,29,93,42,29,优,243,8,2018-09-15
28,0.5,8,55,21,11,优,30,6,2018-09-16
30,0.5,16,60,18,12,优,21,6,2018-09-17
50,0.6,30,100,24,14,优,89,8,2018-09-18
93,0.8,53,151,49,27,良,111,10,2018-09-19
114,0.9,64,175,69,42,轻度污染,255,12,2018-09-20
134,0.7,46,197,62,40,轻度污染,271,10,2018-09-21
125,0.8,58,187,68,44,轻度污染,234,11,2018-09-22
85,0.7,50,142,44,31,良,178,9,2018-09-23
43,0.7,34,81,31,26,优,191,7,2018-09-24
48,0.7,38,94,34,22,优,42,8,2018-09-25
111,0.7,41,172,51,30,轻度污染,224,10,2018-09-26
49,0.7,38,94,49,34,优,238,8,2018-09-27
40,0.6,31,77,39,28,优,220,8,2018-09-28
67,0.6,34,120,41,27,良,104,8,2018-09-29
86,0.6,46,143,52,34,良,141,9,2018-09-30
89,0.7,41,146,53,34,良,214,10,2018-10-01
100,0.7,35,159,59,32,良,178,12,2018-10-02
108,0.7,43,168,61,35,轻度污染,196,13,2018-10-03
108,0.7,44,168,60,36,轻度污染,159,13,2018-10-04
118,0.7,43,179,61,40,轻度污染,186,14,2018-10-05
106,0.7,47,166,55,35,轻度污染,186,12,2018-10-06
112,0.8,64,173,66,44,轻度污染,168,12,2018-10-07
147,0.9,64,211,95,70,轻度污染,236,12,2018-10-08
123,0.8,53,185,83,58,轻度污染,244,12,2018-10-09
70,0.9,41,70,60,51,良,288,8,2018-10-10
41,0.8,27,81,27,23,优,69,6,2018-10-11
47,0.7,36,94,45,32,优,108,8,2018-10-12
67,0.8,53,65,45,32,良,52,9,2018-10-13
75,0.9,60,94,72,41,良,197,10,2018-10-14
77,0.8,61,24,43,30,良,194,9,2018-10-15
47,0.9,37,42,21,15,优,46,7,2018-10-16
44,0.8,35,35,17,14,优,54,6,2018-10-17
45,0.7,36,37,28,22,优,48,6,2018-10-18
59,0.7,47,70,46,32,良,75,8,2018-10-19
73,0.8,58,68,69,44,良,189,8,2018-10-20
83,0.6,50,139,61,33,良,219,9,2018-10-21
68,0.7,54,56,55,32,良,161,11,2018-10-22
47,0.8,37,52,34,21,优,102,8,2018-10-23
68,1,54,48,57,33,良,75,10,2018-10-24
90,1.1,70,148,94,60,良,208,11,2018-10-25
85,1,68,61,77,52,良,329,10,2018-10-26
69,0.7,40,122,49,22,良,51,9,2018-10-27
70,0.6,52,124,58,25,良,252,11,2018-10-28
75,0.6,60,118,59,28,良,306,12,2018-10-29
69,0.6,53,122,57,28,良,215,13,2018-10-30
75,0.5,35,129,51,24,良,248,11,2018-10-31
70,0.6,32,124,56,31,良,190,11,2018-11-01
63,0.7,35,103,52,45,良,144,7,2018-11-02
43,0.6,34,66,24,19,优,52,5,2018-11-03
59,0.7,47,34,46,30,良,196,7,2018-11-04
79,1,63,94,80,51,良,332,8,2018-11-05
90,0.8,72,127,70,43,良,361,8,2018-11-06
82,0.9,65,108,80,54,良,346,10,2018-11-07
50,0.8,40,77,50,33,优,200,8,2018-11-08
68,0.8,54,90,49,27,良,258,8,2018-11-09
98,1,78,64,92,60,良,335,11,2018-11-10
89,1,66,146,96,62,良,315,10,2018-11-11
78,0.8,55,133,73,51,良,250,7,2018-11-12
52,0.7,41,96,35,22,良,127,7,2018-11-13
89,0.8,57,146,63,40,良,262,10,2018-11-14
60,0.6,48,73,58,30,良,216,8,2018-11-15
59,0.8,47,18,40,24,良,291,7,2018-11-16
39,0.9,31,10,20,14,优,117,5,2018-11-17
56,1,43,8,62,35,良,215,6,2018-11-18
35,0.8,28,56,19,12,优,70,5,2018-11-19
62,1,49,17,60,37,良,200,7,2018-11-20
62,1.2,47,21,69,44,良,254,7,2018-11-21
39,0.8,25,77,30,20,优,50,6,2018-11-22
57,0.8,45,91,59,40,良,108,8,2018-11-23
77,1,61,100,74,50,良,171,8,2018-11-24
72,0.9,57,49,62,49,良,125,8,2018-11-25
62,0.9,49,81,51,41,良,71,6,2018-11-26
69,0.9,55,71,63,42,良,104,8,2018-11-27
80,1,64,38,72,54,良,154,9,2018-11-28
80,0.9,64,78,70,42,良,169,8,2018-11-29
99,1,79,133,101,67,良,202,11,2018-11-30
100,0.9,80,68,94,67,良,208,11,2018-12-01
70,0.8,54,103,77,51,良,144,9,2018-12-02
74,0.7,59,74,70,37,良,162,9,2018-12-03
84,0.9,67,98,77,42,良,251,8,2018-12-04
72,0.9,57,88,73,45,良,233,9,2018-12-05
65,0.8,52,109,63,38,良,340,9,2018-12-06
37,0.9,29,10,22,15,优,135,6,2018-12-07
29,0.7,23,18,15,9,优,69,5,2018-12-08
29,0.7,23,12,9,8,优,52,5,2018-12-09
38,0.7,30,20,25,16,优,70,6,2018-12-10
35,0.8,28,19,28,18,优,50,7,2018-12-11
34,0.8,27,16,20,16,优,41,5,2018-12-12
38,0.8,30,34,30,24,优,35,6,2018-12-13
43,0.8,34,45,30,22,优,49,6,2018-12-14
57,0.9,45,56,46,32,良,83,8,2018-12-15
50,1.1,36,38,42,35,优,73,8,2018-12-16
52,0.8,41,79,39,23,良,71,7,2018-12-17
97,1,77,73,68,38,良,232,9,2018-12-18
113,1.2,106,76,112,65,轻度污染,243,11,2018-12-19
101,1,81,72,100,62,轻度污染,214,9,2018-12-20
75,0.8,60,75,63,37,良,79,9,2018-12-21
70,0.8,56,100,60,35,良,59,6,2018-12-22
43,1,34,43,41,28,优,160,6,2018-12-23
39,1,31,34,25,20,优,19,5,2018-12-24
59,1.2,47,15,51,38,良,51,6,2018-12-25
62,1.2,49,52,61,44,良,236,7,2018-12-26
47,1.2,37,49,37,23,优,178,7,2018-12-27
32,0.8,25,39,29,20,优,62,5,2018-12-28
27,0.6,21,33,25,18,优,36,5,2018-12-29
52,0.6,25,34,46,36,良,143,7,2018-12-30
42,0.7,29,22,30,29,优,67,5,2018-12-31
40,0.7,27,34,34,28,优,68,6,2019-01-01
38,0.9,30,16,27,23,优,50,5,2019-01-02
50,0.9,40,29,41,26,优,88,6,2019-01-03
70,1.2,49,6,71,51,良,169,6,2019-01-04
54,1.2,37,6,50,38,良,118,5,2019-01-05
43,1,34,18,31,18,优,72,4,2019-01-06
65,1.2,45,7,68,47,良,138,6,2019-01-07
43,1.2,34,16,34,24,优,76,5,2019-01-08
54,1.4,43,25,47,29,良,145,6,2019-01-09
80,1.5,58,17,89,59,良,217,7,2019-01-10
119,1.7,78,20,125,90,轻度污染,243,8,2019-01-11
70,1.5,53,18,70,51,良,149,6,2019-01-12
74,1.5,59,27,76,53,良,126,7,2019-01-13
80,1.4,64,52,84,58,良,141,8,2019-01-14
72,1.4,54,38,78,52,良,179,7,2019-01-15
40,1.2,32,35,35,24,优,52,6,2019-01-16
60,1.4,41,111,42,28,良,109,6,2019-01-17
74,1.2,59,62,60,37,良,154,6,2019-01-18
104,1.4,88,86,117,70,轻度污染,233,10,2019-01-19
95,1.4,68,62,111,71,良,247,8,2019-01-20
57,1.2,31,88,58,40,良,98,7,2019-01-21
92,1.2,43,114,85,68,良,217,8,2019-01-22
84,1,67,100,75,51,良,168,7,2019-01-23
104,1.2,87,128,100,67,轻度污染,205,10,2019-01-24
122,1.2,107,135,124,92,轻度污染,272,8,2019-01-25
65,1,47,117,66,43,良,147,9,2019-01-26
85,1,57,139,85,63,良,211,8,2019-01-27
89,1,71,119,93,65,良,219,7,2019-01-28
98,1.1,78,139,84,58,良,216,6,2019-01-29
74,0.8,54,128,52,35,良,169,6,2019-01-30
57,0.8,45,104,38,26,良,191,5,2019-01-31
34,1.1,24,68,27,20,优,10,4,2019-02-01
52,1,41,98,48,32,良,71,5,2019-02-02
50,0.8,38,100,48,28,优,68,4,2019-02-03
52,0.8,31,96,51,36,良,58,4,2019-02-04
54,0.8,16,89,50,38,良,37,5,2019-02-05
44,0.7,15,77,44,30,优,62,4,2019-02-06
36,0.6,16,72,29,19,优,44,4,2019-02-07
40,0.6,18,80,31,19,优,46,4,2019-02-08
34,0.8,21,56,34,22,优,117,4,2019-02-09
28,0.9,22,11,26,14,优,45,4,2019-02-10
25,0.8,20,24,16,9,优,36,4,2019-02-11
42,0.8,33,71,34,23,优,67,5,2019-02-12
75,1.1,60,64,62,39,良,250,6,2019-02-13
57,0.8,45,83,42,26,良,208,5,2019-02-14
58,0.8,46,42,43,27,良,199,5,2019-02-15
52,0.8,41,84,43,26,良,159,5,2019-02-16
51,1.2,34,13,51,33,良,161,5,2019-02-17
49,1,39,19,25,16,优,137,5,2019-02-18
57,1.1,45,32,40,24,良,149,6,2019-02-19
46,1,34,42,46,25,优,75,5,2019-02-20
44,0.7,35,27,31,19,优,82,5,2019-02-21
35,1.1,28,61,24,16,优,41,5,2019-02-22
40,1,32,23,16,12,优,72,4,2019-02-23
37,1,29,46,14,9,优,55,4,2019-02-24
43,1,34,23,32,19,优,29,5,2019-02-25
54,1.2,43,15,51,28,良,98,5,2019-02-26
97,1.6,77,31,116,59,良,263,7,2019-02-27
77,1.6,58,21,104,55,良,202,6,2019-02-28
70,1.2,56,46,68,34,良,165,7,2019-03-01
70,0.8,56,42,50,26,良,180,6,2019-03-02
54,0.8,43,83,30,18,良,115,5,2019-03-03
65,0.9,45,117,42,26,良,146,6,2019-03-04
67,0.8,53,49,30,16,良,170,5,2019-03-05
49,0.8,39,32,17,10,优,116,5,2019-03-06
44,0.9,35,32,16,10,优,77,5,2019-03-07
49,0.9,39,19,17,12,优,84,5,2019-03-08
54,1,43,10,15,11,良,113,5,2019-03-09
45,1,36,38,23,17,优,58,5,2019-03-10
67,1,53,120,54,36,良,184,6,2019-03-11
101,1.1,67,161,88,54,轻度污染,348,9,2019-03-12
96,0.9,75,155,83,46,良,344,8,2019-03-13
69,0.8,55,55,48,30,良,158,5,2019-03-14
53,0.7,42,77,47,34,良,49,5,2019-03-15
88,0.8,69,145,75,45,良,132,8,2019-03-16
84,0.7,67,114,83,37,良,136,9,2019-03-17
101,1.1,81,37,119,60,轻度污染,182,9,2019-03-18
73,1,58,63,81,41,良,267,7,2019-03-19
63,0.7,50,43,53,26,良,70,6,2019-03-20
52,0.6,41,75,44,22,良,85,6,2019-03-21
59,0.7,47,35,52,29,良,126,6,2019-03-22
38,0.8,30,30,28,16,优,197,5,2019-03-23
39,0.8,31,29,24,13,优,18,4,2019-03-24
65,1,52,48,37,20,良,61,5,2019-03-25
101,1.3,82,44,94,48,轻度污染,200,10,2019-03-26
79,0.9,63,96,60,30,良,141,8,2019-03-27
73,0.8,58,86,66,34,良,98,7,2019-03-28
65,0.9,52,26,53,29,良,191,7,2019-03-29
88,0.8,44,145,48,28,良,63,6,2019-03-30
62,0.7,49,91,54,27,良,108,7,2019-03-31
44,0.8,35,37,32,18,优,61,5,2019-04-01
68,0.9,54,95,60,34,良,44,7,2019-04-02
85,0.9,68,104,70,34,良,234,8,2019-04-03
65,1,52,20,48,26,良,177,6,2019-04-04
60,1,38,111,53,27,良,157,7,2019-04-05
89,1,47,146,69,43,良,122,9,2019-04-06
66,0.7,41,119,50,28,良,90,7,2019-04-07
49,0.7,39,64,43,21,优,75,7,2019-04-08
43,0.6,34,51,37,18,优,56,6,2019-04-09
62,0.6,36,114,50,26,良,160,7,2019-04-10
44,0.7,35,36,40,22,优,116,6,2019-04-11
48,0.8,38,21,24,16,优,29,5,2019-04-12
67,0.9,53,22,40,23,良,64,6,2019-04-13
67,1,53,28,48,29,良,141,8,2019-04-14
53,1,42,20,28,16,良,35,5,2019-04-15
65,1,52,84,28,18,良,130,5,2019-04-16
82,1.1,59,138,58,36,良,136,7,2019-04-17
77,0.8,61,53,40,24,良,120,6,2019-04-18
68,0.7,54,70,24,17,良,193,6,2019-04-19
77,0.8,61,35,27,19,良,264,7,2019-04-20
79,1,63,30,43,27,良,260,7,2019-04-21
54,0.7,43,72,32,18,良,47,6,2019-04-22
57,0.7,45,82,40,23,良,120,7,2019-04-23
51,0.6,35,101,39,19,良,54,6,2019-04-24
51,0.6,39,101,49,27,良,73,6,2019-04-25
58,0.7,46,78,49,29,良,220,7,2019-04-26
57,0.7,45,68,22,13,良,28,5,2019-04-27
58,0.8,46,105,40,24,良,69,6,2019-04-28
58,0.7,46,84,45,23,良,128,7,2019-04-29
50,0.7,40,98,32,17,优,117,5,2019-04-30
41,0.9,24,82,27,14,优,14,5,2019-05-01
37,0.8,29,52,27,18,优,68,4,2019-05-02
55,0.8,36,105,42,23,良,4,6,2019-05-03
82,0.8,65,72,65,36,良,216,7,2019-05-04
53,0.7,42,45,14,10,良,44,4,2019-05-05
47,0.7,37,39,12,8,优,50,4,2019-05-06
47,0.7,37,44,20,11,优,32,4,2019-05-07
54,0.7,43,18,16,11,良,106,5,2019-05-08
50,0.8,40,60,23,13,优,21,5,2019-05-09
63,0.9,50,95,52,26,良,102,6,2019-05-10
168,1,61,233,82,44,中度污染,239,9,2019-05-11
118,0.8,45,179,53,27,轻度污染,158,8,2019-05-12
75,0.7,46,130,52,24,良,51,7,2019-05-13
80,0.6,34,135,40,22,良,57,6,2019-05-14
42,0.6,33,74,39,20,优,43,6,2019-05-15
49,0.6,29,98,44,22,优,99,6,2019-05-16
48,0.7,34,95,45,23,优,78,6,2019-05-17
68,0.7,27,121,42,22,良,115,5,2019-05-18
70,0.6,24,123,44,19,良,89,5,2019-05-19
54,0.7,25,104,29,14,良,124,5,2019-05-20
55,0.8,36,91,59,36,良,79,6,2019-05-21
89,0.8,43,146,55,31,良,82,6,2019-05-22
60,0.9,48,64,35,24,良,132,5,2019-05-23
55,0.8,37,106,42,26,良,41,5,2019-05-24
44,0.6,35,71,34,18,优,73,5,2019-05-25
44,0.6,31,87,19,10,优,72,5,2019-05-26
49,0.6,39,96,25,13,优,25,5,2019-05-27
59,0.7,47,85,28,16,良,134,5,2019-05-28
53,0.8,42,37,25,16,良,95,5,2019-05-29
55,0.7,44,88,35,21,良,85,5,2019-05-30
59,0.7,47,85,37,21,良,140,6,2019-05-31
53,0.7,42,93,29,19,良,69,5,2019-06-01
45,0.7,36,58,22,13,优,30,5,2019-06-02
71,0.7,38,125,30,18,良,44,6,2019-06-03
57,0.8,45,90,34,19,良,86,6,2019-06-04
53,0.8,42,38,31,18,良,127,6,2019-06-05
42,0.7,33,55,27,14,优,40,6,2019-06-06
40,0.5,22,79,23,11,优,102,6,2019-06-07
41,0.5,18,81,21,8,优,29,5,2019-06-08
39,0.5,18,77,23,9,优,47,5,2019-06-09
37,0.6,28,73,26,11,优,52,5,2019-06-10
62,0.7,49,60,25,17,良,82,5,2019-06-11
65,0.8,52,107,31,19,良,10,6,2019-06-12
57,0.7,38,108,24,15,良,76,5,2019-06-13
92,0.8,29,150,27,15,良,34,6,2019-06-14
135,0.7,34,198,35,20,轻度污染,153,6,2019-06-15
120,0.7,30,181,43,22,轻度污染,108,6,2019-06-16
92,0.7,31,150,37,20,良,215,6,2019-06-17
45,0.7,36,52,19,10,优,20,5,2019-06-18
49,0.7,39,87,28,14,优,86,5,2019-06-19
39,0.7,27,77,27,11,优,102,5,2019-06-20
54,0.6,21,104,27,11,良,122,5,2019-06-21
51,0.6,20,101,31,12,良,67,5,2019-06-22
36,0.6,24,71,30,12,优,74,5,2019-06-23
55,0.8,44,26,23,14,良,119,5,2019-06-24
95,0.8,48,153,35,23,良,78,5,2019-06-25
63,0.8,50,80,33,20,良,108,6,2019-06-26
69,0.7,38,122,36,18,良,153,5,2019-06-27
